id,tender_name,tender_path,tender_text_path,output_path,process_steps,created_by,created_at,updated_at,id_experience,identifier,experience_processed,experience_requirements_processed,client_contact_processed,message,error
4,java_tender.docx,files/tenders/tender_paths/2024-11-14T20-41-03_1a22a782ad5e4d57b3a342856667289c.docx,files/tenders/tender_text_paths/2024-11-14T20-41-03_1a22a782ad5e4d57b3a342856667289c.txt,,4,,2024-11-14 19:41:03,2024-11-14 20:07:33,117.0,1a22a782ad5e4d57b3a342856667289c,2024-11-14 21:07:19,2024-11-14 21:07:33,2024-11-14 21:07:21,,
5,smart_contract_tender.docx,files/tenders/tender_paths/2024-11-14T20-41-08_0a280efc00804472bdb09ac157ac1e4c.docx,files/tenders/tender_text_paths/2024-11-14T20-41-08_0a280efc00804472bdb09ac157ac1e4c.txt,,4,,2024-11-14 19:41:09,2024-11-14 20:06:44,116.0,0a280efc00804472bdb09ac157ac1e4c,2024-11-14 21:06:31,2024-11-14 21:06:44,2024-11-14 21:06:33,,
6,genhive_tender.txt,files/tenders/tender_paths/2024-11-14T20-41-20_c5ac2c86aa25433cb1bd3ac40cf2d360.txt,files/tenders/tender_text_paths/2024-11-14T20-41-20_c5ac2c86aa25433cb1bd3ac40cf2d360.txt,,4,,2024-11-14 19:41:21,2024-11-14 20:01:17,115.0,c5ac2c86aa25433cb1bd3ac40cf2d360,2024-11-14 21:01:02,2024-11-14 21:01:17,2024-11-14 21:01:06,,
7,BA Job Spec.docx,files/tenders/tender_paths/2024-12-10T10-32-19_1847664288fa4f818587b3341a01701b.docx,files/tenders/tender_text_paths/2024-12-10T10-32-19_1847664288fa4f818587b3341a01701b.txt,,4,,2024-12-10 09:32:19,2024-12-21 22:09:19,121.0,1847664288fa4f818587b3341a01701b,2024-12-21 22:49:53,2024-12-21 23:09:19,2024-12-21 22:49:55,,
8,Job Spec Genhive .docx,files/tenders/tender_paths/2024-12-10T10-32-19_6551d23f77244407be443c8d4ccbfa98.docx,files/tenders/tender_text_paths/2024-12-10T10-32-19_6551d23f77244407be443c8d4ccbfa98.txt,,4,,2024-12-10 09:32:19,2024-12-21 21:50:20,122.0,6551d23f77244407be443c8d4ccbfa98,2024-12-10 10:32:43,2024-12-21 22:50:20,2024-12-10 10:32:45,,
9,Natixis_Murex_BA_BO.docx,files/tenders/tender_paths/2024-12-11T12-18-48_3d56326e9b544f6ea48d697cc28bba84.docx,files/tenders/tender_text_paths/2024-12-11T12-18-48_3d56326e9b544f6ea48d697cc28bba84.txt,,4,,2024-12-11 11:18:48,2024-12-21 21:19:03,128.0,3d56326e9b544f6ea48d697cc28bba84,2024-12-21 22:14:53,2024-12-21 22:19:03,2024-12-21 22:14:56,,
10,Natixis_Murex_BA_Front.docx,files/tenders/tender_paths/2024-12-11T12-19-13_bef84d9308464b8baeda9f2d189713c4.docx,files/tenders/tender_text_paths/2024-12-11T12-19-13_bef84d9308464b8baeda9f2d189713c4.txt,,4,,2024-12-11 11:19:14,2024-12-21 21:41:27,127.0,bef84d9308464b8baeda9f2d189713c4,2024-12-11 12:21:31,2024-12-21 22:41:27,2024-12-11 12:21:36,,
11,Natixis_Murex_DEV.docx,files/tenders/tender_paths/2024-12-11T12-19-39_a7fbdf0062a74093b1f3bc416dfc00ee.docx,files/tenders/tender_text_paths/2024-12-11T12-19-39_a7fbdf0062a74093b1f3bc416dfc00ee.txt,,4,,2024-12-11 11:19:39,2024-12-21 21:29:58,126.0,a7fbdf0062a74093b1f3bc416dfc00ee,2024-12-11 12:20:13,2024-12-21 22:29:58,2024-12-11 12:20:14,,
12,Developpeur Fullstack 1_1269518092.docx,files/tenders/tender_paths/2024-12-21T23-15-34_844f20302ea3456d9016ac5a3a6b3ae3.docx,files/tenders/tender_text_paths/2024-12-21T23-15-34_844f20302ea3456d9016ac5a3a6b3ae3.txt,,4,,2024-12-21 22:15:35,2024-12-21 22:15:57,171.0,844f20302ea3456d9016ac5a3a6b3ae3,2024-12-21 23:15:40,2024-12-21 23:15:57,2024-12-21 23:15:42,,
13,Data scientist 1_1269518092.docx,files/tenders/tender_paths/2024-12-21T23-15-47_3890a58996634f05b9730bc43a1aa2eb.docx,files/tenders/tender_text_paths/2024-12-21T23-15-47_3890a58996634f05b9730bc43a1aa2eb.txt,,4,,2024-12-21 22:15:48,2024-12-21 22:16:02,172.0,3890a58996634f05b9730bc43a1aa2eb,2024-12-21 23:15:50,2024-12-21 23:16:02,2024-12-21 23:15:52,,
14,2024-12-22T15-28-06_9a5c68be48a84792922c44df8ed523f6.txt,files/tenders/tender_paths/2024-12-22T15-28-06_9a5c68be48a84792922c44df8ed523f6.txt,files/tenders/tender_text_paths/2024-12-22T15-28-06_9a5c68be48a84792922c44df8ed523f6.txt,,4,,2024-12-22 14:28:06,2024-12-22 14:28:27,173.0,9a5c68be48a84792922c44df8ed523f6,2024-12-22 15:28:17,2024-12-22 15:28:27,2024-12-22 15:28:19,,
15,2024-12-22T15-29-18_595a0d3111be4b819e14f3200b2995ba.txt,files/tenders/tender_paths/2024-12-22T15-29-18_595a0d3111be4b819e14f3200b2995ba.txt,files/tenders/tender_text_paths/2024-12-22T15-29-18_595a0d3111be4b819e14f3200b2995ba.txt,,4,,2024-12-22 14:29:19,2024-12-22 14:29:35,174.0,595a0d3111be4b819e14f3200b2995ba,2024-12-22 15:29:28,2024-12-22 15:29:35,2024-12-22 15:29:29,,
16,2024-12-23T11-22-10_9263f7dca81d4d0bbe7430a245ec8f34.txt,files/tenders/tender_paths/2024-12-23T11-22-10_9263f7dca81d4d0bbe7430a245ec8f34.txt,files/tenders/tender_text_paths/2024-12-23T11-22-10_9263f7dca81d4d0bbe7430a245ec8f34.txt,,4,,2024-12-23 10:22:10,2024-12-23 11:59:38,,9263f7dca81d4d0bbe7430a245ec8f34,2024-12-23 11:22:20,2024-12-23 11:22:48,2024-12-23 11:22:22,,
17,2025-01-08T10-02-44_714fe057743c46d1a2411bc1efced25d.txt,files/tenders/tender_paths/2025-01-08T10-02-44_714fe057743c46d1a2411bc1efced25d.txt,files/tenders/tender_text_paths/2025-01-08T10-02-44_714fe057743c46d1a2411bc1efced25d.txt,,3,,2025-01-08 10:02:44,2025-01-08 10:05:51,292.0,714fe057743c46d1a2411bc1efced25d,2025-01-08 10:05:48,2025-01-08 10:02:58,2025-01-08 10:05:51,,
18,Credit risk CRMCC_1196319141.docx,files/tenders/tender_paths/2025-01-08T19-22-23_279ccb2a20814e7b8b94cface898df39.docx,files/tenders/tender_text_paths/2025-01-08T19-22-23_279ccb2a20814e7b8b94cface898df39.txt,,4,,2025-01-08 19:22:24,2025-01-08 19:22:55,305.0,279ccb2a20814e7b8b94cface898df39,2025-01-08 19:22:29,2025-01-08 19:22:55,2025-01-08 19:22:32,,
19,Model Liquidity ALM Risk CRMMM CRMMR_1196319141.docx,files/tenders/tender_paths/2025-01-08T19-22-24_1a153acdd06e488bbf6233a596db0862.docx,files/tenders/tender_text_paths/2025-01-08T19-22-24_1a153acdd06e488bbf6233a596db0862.txt,,4,,2025-01-08 19:22:24,2025-01-08 19:23:30,306.0,1a153acdd06e488bbf6233a596db0862,2025-01-08 19:23:03,2025-01-08 19:23:30,2025-01-08 19:23:04,,
20,2025-01-21T11-35-58_ab05932c5238490c80f83ff961031457.txt,files/tenders/tender_paths/2025-01-21T11-35-58_ab05932c5238490c80f83ff961031457.txt,files/tenders/tender_text_paths/2025-01-21T11-35-58_ab05932c5238490c80f83ff961031457.txt,,4,,2025-01-21 11:35:58,2025-01-21 12:25:14,454.0,ab05932c5238490c80f83ff961031457,2025-01-21 12:23:19,2025-01-21 12:25:14,2025-01-21 12:23:23,,
21,2025-01-21T11-36-22_dc1f3f9bd5af4ee485c9f7a5cca3e4f0.txt,files/tenders/tender_paths/2025-01-21T11-36-22_dc1f3f9bd5af4ee485c9f7a5cca3e4f0.txt,files/tenders/tender_text_paths/2025-01-21T11-36-22_dc1f3f9bd5af4ee485c9f7a5cca3e4f0.txt,,4,,2025-01-21 11:36:23,2025-01-21 12:23:30,455.0,dc1f3f9bd5af4ee485c9f7a5cca3e4f0,2025-01-21 12:20:46,2025-01-21 12:23:30,2025-01-21 12:20:49,,
22,2025-01-21T11-36-45_48e5293609a64fe9b3b9d05f3ea2d93c.txt,files/tenders/tender_paths/2025-01-21T11-36-45_48e5293609a64fe9b3b9d05f3ea2d93c.txt,files/tenders/tender_text_paths/2025-01-21T11-36-45_48e5293609a64fe9b3b9d05f3ea2d93c.txt,,4,,2025-01-21 11:36:46,2025-01-21 12:20:28,456.0,48e5293609a64fe9b3b9d05f3ea2d93c,2025-01-21 12:18:34,2025-01-21 12:20:28,2025-01-21 12:18:37,,
23,2025-01-21T11-37-02_5626cf78dff44fecb6bc55e35eb0d25a.txt,files/tenders/tender_paths/2025-01-21T11-37-02_5626cf78dff44fecb6bc55e35eb0d25a.txt,files/tenders/tender_text_paths/2025-01-21T11-37-02_5626cf78dff44fecb6bc55e35eb0d25a.txt,,4,,2025-01-21 11:37:03,2025-01-21 11:37:29,457.0,5626cf78dff44fecb6bc55e35eb0d25a,2025-01-21 11:37:08,2025-01-21 11:37:29,2025-01-21 11:37:11,,
24,Data scientist 1_1269518092.docx,files\tenders\tender_paths\2025-03-03T13-53-49_32ea496464bd489eaa431dde84f99f2c.docx,files\tenders\tender_text_paths\2025-03-03T13-53-49_32ea496464bd489eaa431dde84f99f2c.txt,,2,,2025-03-03 13:53:49,2025-03-03 13:53:55,462.0,32ea496464bd489eaa431dde84f99f2c,2025-03-03 13:53:55,,,,
25,Credit risk CRMCC.docx,files\tenders\tender_paths\2025-03-03T14-05-11_86e723ccf28e4565b6df1925e31914ba.docx,files\tenders\tender_text_paths\2025-03-03T14-05-11_86e723ccf28e4565b6df1925e31914ba.txt,,1,,2025-03-03 14:05:11,2025-03-03 14:05:11,,86e723ccf28e4565b6df1925e31914ba,,,,,
26,Credit risk CRMCC.docx,files\tenders\tender_paths\2025-03-03T14-05-36_16228dada10749b4a36746ab7a6395a8.docx,files\tenders\tender_text_paths\2025-03-03T14-05-36_16228dada10749b4a36746ab7a6395a8.txt,,1,,2025-03-03 14:05:36,2025-03-03 14:05:36,,16228dada10749b4a36746ab7a6395a8,,,,,
27,Credit risk CRMCC.docx,files\tenders\tender_paths\2025-03-03T14-06-38_c41c3634e5e242258f470e56369ae14c.docx,files\tenders\tender_text_paths\2025-03-03T14-06-38_c41c3634e5e242258f470e56369ae14c.txt,,1,,2025-03-03 14:06:38,2025-03-03 14:06:38,,c41c3634e5e242258f470e56369ae14c,,,,,
28,"Model, Liquidity ALM Risk (CRMMM, CRMMR).docx",files\tenders\tender_paths\2025-03-03T14-06-38_11c4797a73b4487b9b039abb2f8ff4da.docx,files\tenders\tender_text_paths\2025-03-03T14-06-38_11c4797a73b4487b9b039abb2f8ff4da.txt,,1,,2025-03-03 14:06:38,2025-03-03 14:06:38,,11c4797a73b4487b9b039abb2f8ff4da,,,,,
